Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Break a Habit	Steps		* Substance abuse, eating disorders, self-mutilation and other self-destructive patterns could be ______ addictions or mental disorders.	Seek professional help to combat them.	cause of	2.0	triggered by	4.0	signs of	5.0	caused by	4.5	symptoms of	2.5
How to Build an Outdoor Rabbit Cage	Tips	* Rabbits require constant care and regular vet visits.Consider if a rabbit will be right for you or you may end up in a problem situation with your furry friend. (...)	* If they escape into your fenced yard, try using a ______ trap.	The quietest one you can get - rabbits can literally be scared to death.	wire	1.0	cat	2.0	wooden	3.5	rabbit	4.5	mouse	1.0
How to Raise a Baby Squirrel	Feeding Your Baby Squirrel 	(...) 9. Introduce raw fruit and nuts. (...) * Like a human baby it will also let you know when it's done with formula by pushing it away. 	If your squirrel rubs its face on the ground, it means it doesn't like ______.		the grass	1.5	the food	5.0	the ground	1.0	the taste	4.5	the smell	4.5
How to Maintain Good Hygiene	Tips 		Do ______ a minimum amount of physical exercise. 	You will be motivated enough to keep yourself healthy and hygienic.	at most	2.0	at least	5.0	not do	1.0	on average	2.5	about	1.5
How to Store Jalapenos	Warnings 		Make sure to wear latex gloves when handling jalapenos or wash ______ thoroughly after handling. 	You can get a chemical burn if you don't protect yourself.	the floor	1.0	your body	1.5	your underwear	1.0	the jalapenos	3.0	your hands	5.0
How to Allow Pop ups on Google Chrome	Steps	1. Click the Chrome menu. (...) Click Settings towards the bottom of the menu.	This will open a new tab in your Chrome window which will allow you to adjust the ______ settings.		computer	2.5	browser	3.5	window	2.5	safety	3.0	volume	2.0
How to Calm Your Angry Cat	Tips	* Ensure that your cat's flea and worm treatments are totally up-to-date.	These ______ can aggravate a cat.		fleas	3.5	things	3.0	pests	4.0	treatments	3.0	cats	1.0
How to Treat a Virgo	Steps 	(...) Do not wear too much perfume or cologne, because that is a major turn-off. 3. Try keeping a short array of smells around you. 	If ______ smell like sweat they will let you know. 	And if you just farted, they will most definitely let you know. 	you	4.5	they	1.0	people	1.0	things	2.5	some	2.0
How to Calibrate Your Sprinklers	Steps	(...) 4. Measure the water collected in the cans.Once you turn the water off, collect the cans and pour all the water into one container.	The container must be exactly the same ______ as the containers you used to collect the water.	Use a ruler to measure how many inches of water are in the can.	diameter	4.5	color	1.0	size	4.5	height	3.5	width	4.0
How to Create a 'Nightmare Before Christmas' Themed Room	Steps 	(...) 4. Search for merchandise to decorate your room with! Some great things can be found at Spencer's, online on sites such as Amazon and Hot Topic such as posters, necklaces, figurines, messenger bags, and plenty of other things. 	Don't feel like you have to spend a lot of money on it ______.		afterwards	1.5	anyway	2.0	yet	2.0	though	4.5	beforehand	1.5
How to Build a Ladybug House	Steps	(...) 3. Add a water source. (...) Also add a damp paper towel, folded up into the interior.	Throw in some ______ cheese for good measure.		of the old	3.5	tiny crumbs of	4.0	more of the	2.0	of your own	3.0	of your best	2.5
